extra_producto|extra_producto|1587.0|producto_extra|1587°1399.5°464°143°309°52°2°6°2051.5°1591°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|7599.0|
malboro suelto|malboro suelto|600|malboro|600°402°132°0°96°72°24°24°288°228°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|1854|
recargas|recargas|290|recargas|290°100°250°120°30°0°0°0°180°200°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|1070|
dulceria|dulceria|201.5|dulceria|201.5°182°21.5°7°78.5°51°0°0°92°199°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|829.5|
cigarro|cigarro_suelto|200|cigarro_suelto|200°219°97°0°70°30°0°0°57°164°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|825|
75007614|coca-cola 600ml|54|coca cola|54°25°10°4°7°11°4°0°23°22°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|159|
7501055328345|coca 400ml|36|coca cola|36°24°7°2°10°6°0°0°14°25°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|123|
7501064191886|modelo especial laton 473ml|10|corona|10°27°4°2°3°8°2°2°4°23°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|84|
041789001864|maruchan habanero 64g|25|casa vargas|25°20°2°0°4°4°0°0°14°7°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|75|
75001322|marlboro rojo 20|17|malboro|17°16°9°1°1°1°0°4°12°9°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|69|
tortillas|tortillas|27|tortillas|27°16°5°0°2°4°0°0°5°9°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|66|
vasos|vasos cuberos|4|casa vargas|4°21°3°2°3°4°7°2°7°10°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|62|
7501055310227|coca-cola retornable 2.5lt|11|coca cola|11°9°7°1°10°2°0°0°8°12°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|59|
75067854|chesterfield 25´|16|malboro|16°3°1°3°11°3°1°0°9°10°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|55|
7501055300952|coca retornable 1.25Lts|18|coca cola|18°13°3°1°5°0°0°1°6°8°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|54|
7500810000465|takis fuego 70g|18|barcel|18°9°3°1°1°2°0°0°9°12°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|54|
7501055355310|coca 250ml|9|coca cola|9°11°4°1°6°2°0°1°8°10°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|51|
7501064194139|victoria laton 473ml|23|corona|23°26°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|48|
7501049967062|sol clamato 473ml|12|indio|12°14°0°0°2°1°2°0°2°15°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|46|
camel suelto|camel suelto|0|camel|0°0°5°0°14°0°5°0°0°34°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|46|
7501064112546|modelo especial lata 355ml|5|corona|5°5°3°0°0°0°0°0°4°28°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|43|
7501055304745|coca-cola 3lt|16|coca cola|16°4°3°1°1°1°0°0°5°13°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|43|
032239052000|del valle vidrio|17|coca cola|17°9°4°0°0°1°0°1°5°6°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|42|
758104001712|bonafont agua 600ml|19|bonafont|19°6°1°0°6°3°0°0°2°5°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|41|
7501086801046|agua e pura 1l|9|epura|9°12°4°0°2°1°0°0°9°3°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|39|
7503006897016|red cola 600ml|10|red cola|10°9°3°1°2°1°0°0°4°10°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|38|
781159053849|sabro leche 1L|13|red cola|13°7°0°1°2°5°0°0°4°5°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|36|
7503024416510|heineken 0|14|indio|14°2°0°0°0°0°0°0°0°18°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|32|
7501295600126|leche entera santa clara 1l|9|santa clara|9°5°0°1°5°0°0°0°5°7°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|31|
758104000159|agua bonafont 1.5Lts|13|bonafont|13°9°2°0°0°0°0°0°1°6°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|30|
7502252634116|cigarro link rojo 20'|14|link|14°7°1°0°0°0°0°0°1°9°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|30|
758104100422|agua bonafont 1L|13|bonafont|13°4°2°1°2°0°0°0°1°7°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|29|
75021597|cigarro capsula mentolada 100 rojo - 20'|5|malboro|5°5°2°1°3°1°0°0°5°8°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|28|
7501000112784|nito 62g|5|bimbo dulce|5°5°3°1°1°0°0°0°10°4°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|28|
032239052017|del valle|10|coca cola|10°8°1°0°1°2°0°0°3°4°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|28|
7501011143586|cheetos torciditos 52g|5|sabritas|5°4°2°0°3°2°0°0°5°8°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|28|
7501011143753|cheetos flamin hot|8|sabritas|8°4°1°0°2°1°0°0°4°8°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|27|
7501064191909|victoria botella 1.2L|13|corona|13°7°1°0°0°2°0°0°0°5°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|27|
041789001918|maruchan pollo|6|casa vargas|6°4°3°0°4°3°0°0°2°6°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|26|
7501011123588|doritos nacho 62g|10|sabritas|10°5°2°0°1°0°0°1°1°6°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|25|
7503034672050|runers|9|barcel|9°3°2°1°0°0°0°0°6°5°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|25|
7501020540666|nutrileche 1Lt|6|victor|6°3°2°0°7°0°0°0°4°4°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|25|
link suelto|link suelto|12|link|12°0°0°0°4°0°0°0°0°16°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|24|
7501055305629|sprite 600ml|9|coca cola|9°4°0°0°0°1°0°0°3°10°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|24|
7501030419037|mini gansito 24g|5|marinela|5°2°2°0°1°2°0°0°3°10°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|24|
7501073830509|peñafiel natural 600ml|15|coca cola|15°3°0°0°0°0°0°0°1°5°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|23|
7501055361540|coca lata 355mll|10|coca cola|10°4°1°0°0°0°1°2°2°4°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|23|
7501031310241|pepzi 355ml|11|pepsi|11°4°1°1°1°1°0°1°4°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|23|
7503028412587|carta blanca 473ml|16|indio|16°0°0°0°0°0°0°0°0°13°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|23|
7501000153107|gansito 50g|10|marinela|10°7°1°0°1°0°0°0°5°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|22|
7501011104099|rufles queso 52g|5|sabritas|5°5°1°0°1°1°0°1°2°7°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|22|
6843481905006|encendedor econ,|6|charras|6°5°0°0°2°0°0°2°2°5°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|21|
7501055305230|fanta fresa 600ml|8|coca cola|8°3°1°0°1°0°0°0°5°4°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|21|
7501064199141|stella artois 330ml|1|corona|1°0°7°0°0°0°0°0°7°12°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°|21|
